Member_name,verb_type,Calss ID
relish,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
resent,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
respect,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
revere,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
rue,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
savor,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
stand,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
suffer,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
support,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
tolerate,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
treasure,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
trust,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
value,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
venerate,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
worship,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
